CountryName,CategoryName,CategoryTotal
Afghanistan,Child labour (%)+ 2005–2012* total,10
Afghanistan,Child labour (%)+ 2005–2012* male,11
Afghanistan,Child labour (%)+ 2005–2012* female,10
Afghanistan,Child marriage (%) 2005–2012* married by 15,15
Afghanistan,Child marriage (%) 2005–2012* married by 18,40
Afghanistan,Birth registration (%)+ 2005–2012* total,37
Afghanistan,Justification of wife beating (%)  2005–2012* female,90
Afghanistan,Violent discipline (%)+ 2005–2012* total,74
Afghanistan,Violent discipline (%)+ 2005–2012* male,75
Afghanistan,Violent discipline (%)+ 2005–2012* female,74
Albania,Child labour (%)+ 2005–2012* total,12
Albania,Child labour (%)+ 2005–2012* male,14
Albania,Child labour (%)+ 2005–2012* female,9
Albania,Child marriage (%) 2005–2012* married by 18,10
Albania,Birth registration (%)+ 2005–2012* total,99
Albania,Justification of wife beating (%)  2005–2012* male,36
Albania,Justification of wife beating (%)  2005–2012* female,30
Albania,Violent discipline (%)+ 2005–2012* total,75
Albania,Violent discipline (%)+ 2005–2012* male,78
Albania,Violent discipline (%)+ 2005–2012* female,71
Algeria,Child labour (%)+ 2005–2012* total,5
Algeria,Child labour (%)+ 2005–2012* male,6
Algeria,Child labour (%)+ 2005–2012* female,4
Algeria,Child marriage (%) 2005–2012* married by 18,2
Algeria,Birth registration (%)+ 2005–2012* total,99
Algeria,Justification of wife beating (%)  2005–2012* female,68
Algeria,Violent discipline (%)+ 2005–2012* total,88
Algeria,Violent discipline (%)+ 2005–2012* male,89
Algeria,Violent discipline (%)+ 2005–2012* female,87
Andorra,Birth registration (%)+ 2005–2012* total,100
Angola,Child labour (%)+ 2005–2012* total,24
Angola,Child labour (%)+ 2005–2012* male,22
Angola,Child labour (%)+ 2005–2012* female,25
Angola,Birth registration (%)+ 2005–2012* total,36
Argentina,Child labour (%)+ 2005–2012* total,7
Argentina,Child labour (%)+ 2005–2012* male,8
Argentina,Child labour (%)+ 2005–2012* female,5
Argentina,Birth registration (%)+ 2005–2012* total,99
Armenia,Child labour (%)+ 2005–2012* total,4
Armenia,Child labour (%)+ 2005–2012* male,5
Armenia,Child labour (%)+ 2005–2012* female,3
Armenia,Child marriage (%) 2005–2012* married by 18,7
Armenia,Birth registration (%)+ 2005–2012* total,100
Armenia,Justification of wife beating (%)  2005–2012* male,20
Armenia,Justification of wife beating (%)  2005–2012* female,9
Armenia,Violent discipline (%)+ 2005–2012* total,70
Armenia,Violent discipline (%)+ 2005–2012* male,72
Armenia,Violent discipline (%)+ 2005–2012* female,67
Australia,Birth registration (%)+ 2005–2012* total,100
Austria,Birth registration (%)+ 2005–2012* total,100
Azerbaijan,Child labour (%)+ 2005–2012* total,7
Azerbaijan,Child labour (%)+ 2005–2012* male,8
Azerbaijan,Child labour (%)+ 2005–2012* female,5
Azerbaijan,Child marriage (%) 2005–2012* married by 15,1
Azerbaijan,Child marriage (%) 2005–2012* married by 18,12
Azerbaijan,Birth registration (%)+ 2005–2012* total,94
Azerbaijan,Justification of wife beating (%)  2005–2012* male,58
Azerbaijan,Justification of wife beating (%)  2005–2012* female,49
Azerbaijan,Violent discipline (%)+ 2005–2012* total,75
Azerbaijan,Violent discipline (%)+ 2005–2012* male,79
Azerbaijan,Violent discipline (%)+ 2005–2012* female,71
Bahrain,Child labour (%)+ 2005–2012* total,5
Bahrain,Child labour (%)+ 2005–2012* male,6
Bahrain,Child labour (%)+ 2005–2012* female,3
Bangladesh,Child labour (%)+ 2005–2012* total,13
Bangladesh,Child labour (%)+ 2005–2012* male,18
Bangladesh,Child labour (%)+ 2005–2012* female,8
Bangladesh,Child marriage (%) 2005–2012* married by 15,29
Bangladesh,Child marriage (%) 2005–2012* married by 18,65
Bangladesh,Birth registration (%)+ 2005–2012* total,31
Bangladesh,Justification of wife beating (%)  2005–2012* female,33
Belarus,Child labour (%)+ 2005–2012* total,1
Belarus,Child labour (%)+ 2005–2012* male,1
Belarus,Child labour (%)+ 2005–2012* female,2
Belarus,Child marriage (%) 2005–2012* married by 18,3
Belarus,Birth registration (%)+ 2005–2012* total,100
Belarus,Justification of wife beating (%)  2005–2012* male,4
Belarus,Justification of wife beating (%)  2005–2012* female,4
Belarus,Violent discipline (%)+ 2005–2012* total,65
Belarus,Violent discipline (%)+ 2005–2012* male,67
Belarus,Violent discipline (%)+ 2005–2012* female,62
Belgium,Birth registration (%)+ 2005–2012* total,100
Belize,Child labour (%)+ 2005–2012* total,6
Belize,Child labour (%)+ 2005–2012* male,7
Belize,Child labour (%)+ 2005–2012* female,5
Belize,Child marriage (%) 2005–2012* married by 15,3
Belize,Child marriage (%) 2005–2012* married by 18,26
Belize,Birth registration (%)+ 2005–2012* total,95
Belize,Justification of wife beating (%)  2005–2012* female,9
Belize,Violent discipline (%)+ 2005–2012* total,71
Belize,Violent discipline (%)+ 2005–2012* male,71
Belize,Violent discipline (%)+ 2005–2012* female,70
Benin,Child labour (%)+ 2005–2012* total,46
Benin,Child labour (%)+ 2005–2012* male,47
Benin,Child labour (%)+ 2005–2012* female,45
Benin,Child marriage (%) 2005–2012* married by 15,8
Benin,Child marriage (%) 2005–2012* married by 18,34
Benin,Birth registration (%)+ 2005–2012* total,80
Benin,Female genital mutilation/cutting (%)+ 2002–2012* prevalence womena  ,13
Benin,Female genital mutilation/cutting (%)+ 2002–2012* prevalence girlsb ,2
Benin,Female genital mutilation/cutting (%)+ 2002–2012* attitudes support for the practicec,1
Benin,Justification of wife beating (%)  2005–2012* male,14
Benin,Justification of wife beating (%)  2005–2012* female,47
Bhutan,Child labour (%)+ 2005–2012* total,3
Bhutan,Child labour (%)+ 2005–2012* male,3
Bhutan,Child labour (%)+ 2005–2012* female,3
Bhutan,Child marriage (%) 2005–2012* married by 15,6
Bhutan,Child marriage (%) 2005–2012* married by 18,26
Bhutan,Birth registration (%)+ 2005–2012* total,100
Bhutan,Justification of wife beating (%)  2005–2012* female,68
Boliia (Plurinational    State of),Child labour (%)+ 2005–2012* total,26
Boliia (Plurinational    State of),Child labour (%)+ 2005–2012* male,28
Boliia (Plurinational    State of),Child labour (%)+ 2005–2012* female,24
Boliia (Plurinational    State of),Child marriage (%) 2005–2012* married by 15,3
Boliia (Plurinational    State of),Child marriage (%) 2005–2012* married by 18,22
